album_name,song,date,artist,Featured Artist,Featured Artist 2,Explicitness ,Chorus Words,Intro,Outro,Sentiment Score (Old),Sentiment,Sentiment Score,Adjusted,Color Words,Nature Words,Body Parts,Total Words,Unique Words,Lexical Diversity,Average Word Length,You Count,We Count,I Count,You Ratio,I Ratio,We Ratio,Dominant Pronoun,Bridge,Pre-Chorus,Temporal Words,Temporal Density
Speak Now,Long Live,10/25/2010,Taylor Swift,,,Clean,39,FALSE,FALSE,0.632635057,Positive,0.632635057,FALSE,0,5,5,444,162,0.3649,3.92,13,19,13,0.0293,0.0293,0.0428,We Count,TRUE,FALSE,25,0.0563
Speak Now (Taylor's Version),Long Live (Taylor’s Version),7/7/2023,Taylor Swift,,,Clean,39,FALSE,FALSE,0.632635057,Positive,0.632635057,FALSE,0,5,5,444,162,0.3649,3.92,13,19,13,0.0293,0.0293,0.0428,We Count,TRUE,FALSE,25,0.0563
Fearless (Taylor's Version),Mr. Perfectly Fine (Taylor’s Version) [From the Vault],7/4/2021,Taylor Swift,,,Clean,42,FALSE,TRUE,0.267716318,Negative,-0.616080821,TRUE,0,2,10,441,162,0.3673,3.72,20,2,14,0.0454,0.0317,0.0045,You Count,TRUE,TRUE,28,0.0635
Folklore,Betty,7/27/2020,Taylor Swift,,,Explicit,61,FALSE,TRUE,-0.238792464,Neutral,-0.238792464,FALSE,0,7,1,470,162,0.3447,3.54,32,0,40,0.0681,0.0851,0,I Count,TRUE,TRUE,23,0.0489
Evermore,Champagne Problems,11/12/2020,Taylor Swift,,,Clean,38,FALSE,TRUE,-0.503070414,Negative,-0.503070414,FALSE,0,0,6,305,162,0.5311,4.19,16,3,7,0.0525,0.023,0.0098,You Count,TRUE,FALSE,15,0.0492
Folklore,The Last Great American Dynasty,7/24/2020,Taylor Swift,,,Clean,37,FALSE,TRUE,-0.331755579,Negative,-0.331755579,FALSE,2,6,1,334,161,0.482,4.15,0,1,4,0,0.012,0.003,I Count,TRUE,FALSE,18,0.0539
Midnights,"You're on Your Own, Kid",10/21/2022,Taylor Swift,,,Clean,9,FALSE,FALSE,0.329154253,Neutral,0.329154253,FALSE,0,3,7,316,161,0.5095,3.79,14,2,20,0.0443,0.0633,0.0063,I Count,TRUE,TRUE,11,0.0348
Lover,Miss Americana & The Heartbreak Prince,8/23/2019,Taylor Swift,,,Clean,65,FALSE,TRUE,-0.396251291,Neutral,-0.293317407,TRUE,5,3,1,557,160,0.2873,3.67,35,8,29,0.0628,0.0521,0.0144,You Count,TRUE,TRUE,12,0.0215
Reputation,Getaway Car,10/11/2017,Taylor Swift,,,Clean,60,TRUE,TRUE,-0.318715304,Neutral,-0.318715304,FALSE,3,1,5,587,160,0.2726,3.51,14,29,22,0.0239,0.0375,0.0494,We Count,TRUE,TRUE,16,0.0273
The Tortured Poets Department,Who's Afraid of Little Old Me?,4/19/2024,Taylor Swift,,,Clean,31,FALSE,TRUE,-0.382380903,Negative,-0.382380903,FALSE,0,0,3,468,160,0.3419,3.5,37,5,23,0.0791,0.0491,0.0107,You Count,TRUE,TRUE,14,0.0299
Speak Now (Taylor's Version),Castles Crumbling (Feat. Hayley Williams) (Taylor'S Version) (From The Vault),7/7/2023,"Taylor Swift, Hayley Williams",Hayley Williams,,Clean,37,TRUE,TRUE,-0.317186207,Neutral,-0.317186207,FALSE,1,0,2,333,127,0.3814,3.45,11,0,29,0.033,0.0871,0,I Count,TRUE,TRUE,23,0.0691
The Tortured Poets Department: The Anthology,Imgonnagetyouback,4/19/2024,Taylor Swift,,,Clean,45,TRUE,TRUE,0.075794861,Neutral,0.075794861,FALSE,2,0,16,447,155,0.3468,3.51,37,5,43,0.0828,0.0962,0.0112,I Count,TRUE,FALSE,21,0.047
Speak Now,Never Grow Up,10/25/2010,Taylor Swift,,,Clean,58,FALSE,TRUE,-0.010699946,Neutral,-0.010699946,FALSE,0,1,5,485,154,0.3175,3.56,32,0,18,0.066,0.0371,0,You Count,TRUE,TRUE,22,0.0454
Speak Now (Taylor's Version),Never Grow Up (Taylor’s Version),7/7/2023,Taylor Swift,,,Clean,58,FALSE,TRUE,-0.010699946,Neutral,-0.010699946,FALSE,0,1,5,485,154,0.3175,3.56,32,0,18,0.066,0.0371,0,You Count,TRUE,TRUE,22,0.0454
Speak Now,The Story of Us,4/19/2011,Taylor Swift,,,Clean,54,FALSE,TRUE,-0.293317407,Neutral,-0.293317407,FALSE,0,0,1,488,154,0.3156,3.35,17,10,29,0.0348,0.0594,0.0205,I Count,TRUE,TRUE,22,0.0451
Speak Now (Taylor's Version),The Story of Us (Taylor’s Version),7/7/2023,Taylor Swift,,,Clean,54,FALSE,TRUE,-0.293317407,Neutral,-0.293317407,FALSE,0,0,1,488,154,0.3156,3.35,17,10,29,0.0348,0.0594,0.0205,I Count,TRUE,TRUE,22,0.0451
Speak Now,Mine,4/8/2010,Taylor Swift,,,Clean,39,TRUE,TRUE,0.51539284,Positive,0.51539284,FALSE,0,0,5,435,152,0.3494,3.58,26,13,15,0.0598,0.0345,0.0299,You Count,TRUE,TRUE,18,0.0414
Speak Now (Taylor's Version),Mine (Taylor’s Version),7/7/2023,Taylor Swift,,,Clean,39,TRUE,TRUE,0.51539284,Positive,0.51539284,FALSE,0,0,5,435,152,0.3494,3.58,26,13,15,0.0598,0.0345,0.0299,You Count,TRUE,TRUE,18,0.0414
Folklore,Invisible String,7/24/2020,Taylor Swift,,,Clean,37,FALSE,TRUE,0.443800688,Positive,0.443800688,FALSE,6,4,3,322,151,0.4689,3.77,8,3,8,0.0248,0.0248,0.0093,You Count,TRUE,FALSE,16,0.0497
Evermore,Coney Island (feat. The National),11/12/2020,"Taylor Swift, The National",The National,,Clean,54,FALSE,TRUE,-0.361566663,Negative,-0.361566663,FALSE,2,7,6,399,164,0.411,3.94,20,6,15,0.0501,0.0376,0.015,You Count,TRUE,FALSE,25,0.0627
Reputation,Call It What You Want,3/11/2017,Taylor Swift,,,Clean,61,FALSE,TRUE,0.2742275,Neutral,0.2742275,FALSE,0,8,8,540,151,0.2796,3.48,38,0,21,0.0704,0.0389,0,You Count,TRUE,TRUE,18,0.0333
Evermore,Tis the Damn Season,11/12/2020,Taylor Swift,,,Clean,45,FALSE,TRUE,0.158044726,Neutral,0.158044726,FALSE,0,0,2,431,151,0.3503,3.52,17,7,21,0.0394,0.0487,0.0162,I Count,TRUE,FALSE,22,0.051
The Tortured Poets Department: The Anthology,The Black Dog,4/19/2024,Taylor Swift,,,Explicit,45,FALSE,TRUE,-0.667702734,Negative,-0.667702734,FALSE,3,5,3,310,150,0.4839,3.81,14,1,17,0.0452,0.0548,0.0032,I Count,TRUE,FALSE,18,0.0581
Speak Now,Last Kiss,10/25/2010,Taylor Swift,,,Clean,23,FALSE,TRUE,0.255736351,Negative,-0.743227422,TRUE,0,3,10,430,150,0.3488,3.5,22,6,34,0.0512,0.0791,0.014,I Count,TRUE,TRUE,28,0.0651
Speak Now (Taylor's Version),Last Kiss (Taylor’s Version),7/7/2023,Taylor Swift,,,Clean,23,FALSE,TRUE,0.255736351,Negative,-0.743227422,TRUE,0,3,10,430,150,0.3488,3.5,22,6,34,0.0512,0.0791,0.014,I Count,TRUE,TRUE,28,0.0651
Evermore,Long Story Short,11/12/2020,Taylor Swift,,,Clean,36,FALSE,TRUE,0.300499469,Neutral,0.300499469,FALSE,1,7,4,422,149,0.3531,3.61,20,1,29,0.0474,0.0687,0.0024,I Count,TRUE,FALSE,20,0.0474
The Life of a Showgirl,Eldest Daughter,10/3/2025,Taylor Swift,,,Explicit,43,FALSE,TRUE,-0.366474688,Negative,-0.366474688,FALSE,0,5,3,387,149,0.385,3.81,14,7,30,0.0362,0.0775,0.0181,I Count,TRUE,TRUE,41,0.1059
Midnights (3am Edition),"Would've, Could've, Should've",10/21/2022,Taylor Swift,,,Clean,53,FALSE,TRUE,-0.569145799,Negative,-0.569145799,FALSE,0,0,4,543,149,0.2744,3.46,24,0,48,0.0442,0.0884,0,I Count,TRUE,TRUE,28,0.0516
Speak Now,Speak Now,10/25/2010,Taylor Swift,,,Clean,37,FALSE,FALSE,-0.141109556,Neutral,-0.141109556,FALSE,2,0,8,458,148,0.3231,3.43,21,1,18,0.0459,0.0393,0.0022,You Count,TRUE,TRUE,23,0.0502
Speak Now (Taylor's Version),Speak Now (Taylor’s Version),7/7/2023,Taylor Swift,,,Clean,37,FALSE,FALSE,-0.141109556,Neutral,-0.141109556,FALSE,2,0,8,458,148,0.3231,3.43,21,1,18,0.0459,0.0393,0.0022,You Count,TRUE,TRUE,23,0.0502
Speak Now,Back to December,11/15/2010,Taylor Swift,,,Clean,65,FALSE,TRUE,0.033373956,Negative,-0.348133266,TRUE,0,3,15,443,148,0.3341,3.65,20,5,35,0.0451,0.079,0.0113,I Count,TRUE,TRUE,40,0.0903
Speak Now (Taylor's Version),Back to December (Taylor’s Version),7/7/2023,Taylor Swift,,,Clean,65,FALSE,TRUE,0.033373956,Negative,-0.348133266,TRUE,0,3,15,443,148,0.3341,3.65,20,5,35,0.0451,0.079,0.0113,I Count,TRUE,TRUE,40,0.0903
The Tortured Poets Department,The Tortured Poets Department,4/19/2024,Taylor Swift,,,Explicit,45,FALSE,TRUE,-0.40145278,Negative,-0.40145278,FALSE,1,1,8,458,147,0.321,3.73,46,6,16,0.1004,0.0349,0.0131,You Count,TRUE,FALSE,8,0.0175
Fearless,You Belong with Me,4/20/2009,Taylor Swift,,,Clean,28,FALSE,TRUE,0.22811842,Neutral,0.22811842,FALSE,0,1,3,429,147,0.3427,3.59,41,0,19,0.0956,0.0443,0,You Count,TRUE,TRUE,18,0.042
Fearless (Taylor's Version),You Belong with Me (Taylor’s Version),9/4/2021,Taylor Swift,,,Clean,28,FALSE,TRUE,0.22811842,Neutral,0.22811842,FALSE,0,1,3,429,147,0.3427,3.59,41,0,19,0.0956,0.0443,0,You Count,TRUE,TRUE,18,0.042
